Impactor,Impactee,value
Retail_National_National_Subscription_TV_Lifestyle_Channel,WOI_Subaru_Overall,0.205866272
Bill_Hull_Car_Centre_2228_C2_Northern_Overall_NPS,WOI_Subaru_Overall,0.2058054
Retail_National_National_Subscription_TV_FX,WOI_Subaru_Overall,0.205404732
Subaru_Forester_SUV_X_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_DA,WOI_Subaru_Overall,0.205260561
Subaru_Forester_SUV_X_AWD_2_5L_5Dr_Petrol_A4_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.205181886
Subaru_Forester_SUV_2_0_XT_AWD_2L_5Dr_Petrol_C_Demonstrator_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.204975569
Eyesight_GL_10535005_6_Victoria_Aggregated_Southern_Region_Television_7TWO__Victoria_Aggregated,WOI_Subaru_Overall,0.20403327
Retail_Victoria_Aggregated_Southern_Region_Television_11_Victoria_Aggregated,WOI_Subaru_Overall,0.20343232
Retail_Sydney_Sydney_Television_SBSSYD,WOI_Subaru_Overall,0.20329221
Retail_National_National_Subscription_TV_Music_Max_Channel,WOI_Subaru_Overall,0.202874052
Retail_National_National_Subscription_TV_Lifestyle_You,WOI_Subaru_Overall,0.20271753
Subaru_Toowong_2272_A_Brisbane_Overall_NPS,WOI_Subaru_Overall,0.202300837
Eyesight_GL_10535005_6_National_National_Subscription_TV_National_Geographic,WOI_Subaru_Overall,0.202217328
MAKE_VEHICLES_FOR_SUCCESSFUL_PEOPLE_SUBARU_Manufacturer_Image,WOI_Subaru_Overall,0.201383555
Retail_National_National_Subscription_TV_Discovery_Home_&_Health,WOI_Subaru_Overall,0.20097564
Eyesight_GL_10535005_6_National_National_Subscription_TV_Lifestyle_Food,WOI_Subaru_Overall,0.200867186
Retail_National_National_Subscription_TV_National_Geographic_Wild,WOI_Subaru_Overall,0.200044348
XV_(GL_10535004)_National_National_Subscription_TV_TV1,WOI_Subaru_Overall,0.199324982
Retail_National_National_Subscription_TV_Lifestyle_Home,WOI_Subaru_Overall,0.199207412
XV_(GL_10535004)_National_National_Subscription_TV_ARENA,WOI_Subaru_Overall,0.198816878
